g19user_story_1021_AND_user_story_1036@0@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@2@2@0@True@False@False@True
g19user_story_1038_AND_user_story_1040@113@g19@1038@As an OlderPerson, I want to #have# an #ALFRED device# that informs me about a low battery when leaving the house.@1040@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual troubles.@2@2@0@True@False@False@True
g19user_story_1038_AND_user_story_1041@114@g19@1038@As an OlderPerson, I want to #have# an #ALFRED device# that informs me about a low battery when leaving the house.@1041@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# hearing trouble.@2@2@0@True@False@False@True
g19user_story_1038_AND_user_story_1042@115@g19@1038@As an OlderPerson, I want to #have# an #ALFRED device# that informs me about a low battery when leaving the house.@1042@As an OlderPerson, I want to #have# an #ALFRED device# that repeats the last phrase.@2@2@0@True@False@False@True
g19user_story_1038_AND_user_story_1044@116@g19@1038@As an OlderPerson, I want to #have# an #ALFRED device# that informs me about a low battery when leaving the house.@1044@As an OlderPerson, I want to #have# an #ALFRED device# that responds to the changing demand of the users by offering new Apps in the ALFREDO platform.@2@2@0@True@False@False@True
g19user_story_1038_AND_user_story_1045@117@g19@1038@As an OlderPerson, I want to #have# an #ALFRED device# that informs me about a low battery when leaving the house.@1045@As an OlderPerson, I want to #have# an #ALFRED device# that helps me to communicate with my friends and family.@2@2@0@True@False@False@True
g19user_story_1038_AND_user_story_1049@118@g19@1038@As an OlderPerson, I want to #have# an #ALFRED device# that informs me about a low battery when leaving the house.@1049@As an OlderPerson, I want to #have# an #ALFRED device# that provides me with information about existing apps that corresponds to my interests.@2@2@0@True@False@False@True
g19user_story_1039_AND_user_story_1040@119@g19@1039@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual or hearing troubles.@1040@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual troubles.@2@2@0@False@True@False@True
g19user_story_1039_AND_user_story_1041@120@g19@1039@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual or hearing troubles.@1041@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# hearing trouble.@2@2@0@False@True@False@True
g19user_story_1039_AND_user_story_1042@121@g19@1039@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual or hearing troubles.@1042@As an OlderPerson, I want to #have# an #ALFRED device# that repeats the last phrase.@2@2@0@False@True@False@True
g19user_story_1039_AND_user_story_1044@122@g19@1039@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual or hearing troubles.@1044@As an OlderPerson, I want to #have# an #ALFRED device# that responds to the changing demand of the users by offering new Apps in the ALFREDO platform.@2@2@0@False@True@False@True
g19user_story_1039_AND_user_story_1045@123@g19@1039@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual or hearing troubles.@1045@As an OlderPerson, I want to #have# an #ALFRED device# that helps me to communicate with my friends and family.@2@2@0@False@True@False@True
g19user_story_1039_AND_user_story_1049@124@g19@1039@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual or hearing troubles.@1049@As an OlderPerson, I want to #have# an #ALFRED device# that provides me with information about existing apps that corresponds to my interests.@2@2@0@False@True@False@True
g19user_story_1040_AND_user_story_1041@125@g19@1040@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual troubles.@1041@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# hearing trouble.@2@2@0@False@True@False@True
g19user_story_1040_AND_user_story_1042@126@g19@1040@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual troubles.@1042@As an OlderPerson, I want to #have# an #ALFRED device# that repeats the last phrase.@2@2@0@False@True@False@True
g19user_story_1040_AND_user_story_1044@127@g19@1040@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual troubles.@1044@As an OlderPerson, I want to #have# an #ALFRED device# that responds to the changing demand of the users by offering new Apps in the ALFREDO platform.@2@2@0@False@True@False@True
g19user_story_1040_AND_user_story_1045@128@g19@1040@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual troubles.@1045@As an OlderPerson, I want to #have# an #ALFRED device# that helps me to communicate with my friends and family.@2@2@0@False@True@False@True
g19user_story_1040_AND_user_story_1049@129@g19@1040@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual troubles.@1049@As an OlderPerson, I want to #have# an #ALFRED device# that provides me with information about existing apps that corresponds to my interests.@2@2@0@False@True@False@True
g19user_story_1041_AND_user_story_1042@130@g19@1041@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# hearing trouble.@1042@As an OlderPerson, I want to #have# an #ALFRED device# that repeats the last phrase.@2@2@0@False@True@False@True
g19user_story_1041_AND_user_story_1044@131@g19@1041@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# hearing trouble.@1044@As an OlderPerson, I want to #have# an #ALFRED device# that responds to the changing demand of the users by offering new Apps in the ALFREDO platform.@2@2@0@False@True@False@True
g19user_story_1041_AND_user_story_1045@132@g19@1041@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# hearing trouble.@1045@As an OlderPerson, I want to #have# an #ALFRED device# that helps me to communicate with my friends and family.@2@2@0@False@True@False@True
g19user_story_1041_AND_user_story_1049@133@g19@1041@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# hearing trouble.@1049@As an OlderPerson, I want to #have# an #ALFRED device# that provides me with information about existing apps that corresponds to my interests.@2@2@0@False@True@False@True
g19user_story_1042_AND_user_story_1044@134@g19@1042@As an OlderPerson, I want to #have# an #ALFRED device# that repeats the last phrase.@1044@As an OlderPerson, I want to #have# an #ALFRED device# that responds to the changing demand of the users by offering new Apps in the ALFREDO platform.@2@2@0@False@True@False@True
g19user_story_1042_AND_user_story_1045@135@g19@1042@As an OlderPerson, I want to #have# an #ALFRED device# that repeats the last phrase.@1045@As an OlderPerson, I want to #have# an #ALFRED device# that helps me to communicate with my friends and family.@2@2@0@False@True@False@True
g19user_story_1042_AND_user_story_1049@136@g19@1042@As an OlderPerson, I want to #have# an #ALFRED device# that repeats the last phrase.@1049@As an OlderPerson, I want to #have# an #ALFRED device# that provides me with information about existing apps that corresponds to my interests.@2@2@0@False@True@False@True
g19user_story_1044_AND_user_story_1045@137@g19@1044@As an OlderPerson, I want to #have# an #ALFRED device# that responds to the changing demand of the users by offering new Apps in the ALFREDO platform.@1045@As an OlderPerson, I want to #have# an #ALFRED device# that helps me to communicate with my friends and family.@2@2@0@False@True@False@True
g19user_story_1044_AND_user_story_1049@138@g19@1044@As an OlderPerson, I want to #have# an #ALFRED device# that responds to the changing demand of the users by offering new Apps in the ALFREDO platform.@1049@As an OlderPerson, I want to #have# an #ALFRED device# that provides me with information about existing apps that corresponds to my interests.@2@2@0@False@True@False@True
g19user_story_1045_AND_user_story_1049@139@g19@1045@As an OlderPerson, I want to #have# an #ALFRED device# that helps me to communicate with my friends and family.@1049@As an OlderPerson, I want to #have# an #ALFRED device# that provides me with information about existing apps that corresponds to my interests.@2@2@0@False@True@False@True
g19user_story_1055_AND_user_story_1058@140@g19@1055@As an OlderPerson, I want to #receive# #support# to use the public transport.@1058@As an OlderPerson, I want to #receive# #support# to have a taxi on time.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1057@141@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1059@142@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1060@143@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1061@144@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1062@145@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1063@146@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1064@147@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1065@148@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1066@149@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1073@150@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1074@151@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1081@152@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1082@153@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1087@154@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1088@155@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1089@156@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1090@157@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1091@158@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1092@159@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1093@160@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1056_AND_user_story_1095@161@g19@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1059@162@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1060@163@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1061@164@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1062@165@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1063@166@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1064@167@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1065@168@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1066@169@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1073@170@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1074@171@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1081@172@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1082@173@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1087@174@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1088@175@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1089@176@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1090@177@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1091@178@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1092@179@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1093@180@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1057_AND_user_story_1095@181@g19@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1060@182@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1061@183@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1062@184@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1063@185@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1064@186@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1065@187@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1066@188@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1073@189@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1074@190@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1081@191@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1082@192@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1087@193@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1088@194@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1089@195@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1090@196@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1091@197@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1092@198@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1093@199@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1059_AND_user_story_1095@200@g19@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1061@201@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1062@202@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1063@203@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1064@204@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1065@205@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1066@206@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1073@207@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1074@208@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1081@209@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1082@210@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1087@211@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1088@212@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1089@213@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1090@214@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1091@215@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1092@216@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1093@217@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1060_AND_user_story_1095@218@g19@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1062@219@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1063@220@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1064@221@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1065@222@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1066@223@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1073@224@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1074@225@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1081@226@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1082@227@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
